longitude,latitude,name,lsize_ha,province,district,commune,status,last_update
104.7323733,10.69822458,Kok Prech,1270,Takeo,,,Submitted to MAFF,2014-02-02T17:00:00Z
104.7336957,10.66038518,Kampeng,654,Takeo,,,Submitted to MAFF,2014-02-02T17:00:00Z
104.5469324,10.98397653,Samraong,332,Takeo,,,Agreement signed,2014-02-02T17:00:00Z
104.5497798,10.95320482,Kous,520,Takeo,,,Agreement signed,2014-02-02T17:00:00Z
104.5465211,10.91741376,Tramkok,434,Takeo,,,Agreement signed,2014-02-02T17:00:00Z
104.7017828,10.96834986,CF Tramkok,557,Takeo,,,Agreement signed,2014-02-02T17:00:00Z
104.3445093,10.56387701,Damnak Chang Eu,583,Kep,,,Approved by MAFF,2014-02-02T17:00:00Z
104.3629238,10.56967555,Chamkabei,366,Kep,,,Submitted to MAFF,2014-02-02T17:00:00Z
104.3551378,10.50299835,Phnom Poun,60,Kep,,,Agreement signed,2014-02-02T17:00:00Z
103.8678865,12.58500988,Andoung Sanbuor,6,Pursat,,,Agreement signed,2014-02-02T17:00:00Z
103.8679735,12.56514629,Anlong Mean,9,Pursat,,,Agreement signed,2014-02-02T17:00:00Z
104.0062912,12.56416664,Anlong Vil,33,Pursat,,,Agreement signed,2014-02-02T17:00:00Z
103.8564046,12.54623687,Araen,53,Pursat,,,Approved by MAFF,2014-02-02T17:00:00Z
104.0622644,12.47496156,Bangkong_Khmum,299,Pursat,,,FA Cantonment,2014-02-02T17:00:00Z
104.0118537,12.56340056,Boeng Chhuk,54,Pursat,,,Agreement signed,2014-02-02T17:00:00Z
103.8519375,12.53660683,Cheung Phleung,64,Pursat,,,Agreement signed,2014-02-02T17:00:00Z
104.0143057,12.56487436,Chey Chumneah,56,Pursat,,,Agreement signed,2014-02-02T17:00:00Z
104.0761146,12.4770076,Choar Mcan,332,Pursat,,,FA Cantonment,2014-02-02T17:00:00Z
103.917556,12.6136238,Chreaeng,42,Pursat,,,Agreement signed,2014-02-02T17:00:00Z
103.7950638,12.49672103,Damnak Ampil,104,Pursat,,,Agreement signed,2014-02-02T17:00:00Z
103.8407841,12.38943738,Kampeaeng,188,Pursat,,,FA Cantonment,2014-02-02T17:00:00Z
103.8617523,12.54402638,Kampeaeng Svay,88,Pursat,,,Agreement signed,2014-02-02T17:00:00Z
104.0014257,12.5632263,Kanhcheu Bay Dach,26,Pursat,,,Agreement signed,2014-02-02T17:00:00Z
104.0096435,12.56369983,Kaoh Krasang,41,Pursat,,,Agreement signed,2014-02-02T17:00:00Z
104.021362,12.56583152,Kbal Romeas,73,Pursat,,,Agreement signed,2014-02-02T17:00:00Z
103.8022497,12.3298776,Kol Totueng,39,Pursat,,,FA Cantonment,2014-02-02T17:00:00Z
104.1210216,12.51154468,Krang Thum,99,Pursat,,,Agreement signed,2014-02-02T17:00:00Z
103.8595761,12.55124121,Krapeu Rou,36,Pursat,,,Agreement signed,2014-02-02T17:00:00Z
103.8456572,12.29117719,Ksetr Bourei,74,Pursat,,,FA Cantonment,2014-02-02T17:00:00Z
104.1053143,12.48417689,Ou ach Kok,126,Pursat,,,FA Cantonment,2014-02-02T17:00:00Z
103.9955331,12.55892754,Ou Ba Krang,22,Pursat,,,Agreement signed,2014-02-02T17:00:00Z
103.8738136,12.41947666,Ou Baktra,849,Pursat,,,FA Cantonment,2014-02-02T17:00:00Z
103.8295359,12.38308728,Ou Srav,207,Pursat,,,FA Cantonment,2014-02-02T17:00:00Z
103.9247259,12.44301994,Ou Thkov,388,Pursat,,,FA Cantonment,2014-02-02T17:00:00Z
104.0046396,12.56520936,Plov Krabie,35,Pursat,,,Agreement signed,2014-02-02T17:00:00Z
104.019026,12.5653076,Phteah Kor,56,Pursat,,,Agreement signed,2014-02-02T17:00:00Z
104.0167781,12.56583283,Preaek Chheu Trav,68,Pursat,,,Agreement signed,2014-02-02T17:00:00Z
103.6851959,12.35468055,Praek Muoy,511,Pursat,,,Agreement signed,2014-02-02T17:00:00Z
104.0077485,12.5658086,Preaek Ta Kong,38,Pursat,,,Agreement signed,2014-02-02T17:00:00Z
103.99971,12.56417833,Preaek Ta Vong,37,Pursat,,,Agreement signed,2014-02-02T17:00:00Z
104.0888301,12.47994429,Prey Khla,267,Pursat,,,FA Cantonment,2014-02-02T17:00:00Z
103.6452756,12.52154062,Prey Veang,6,Pursat,,,Agreement signed,2014-02-02T17:00:00Z
103.8481194,12.36743453,Prongil,249,Pursat,,,FA,2014-02-02T17:00:00Z
104.0312134,12.56272074,Roluos Kandal,128,Pursat,,,Agreement signed,2014-02-02T17:00:00Z
104.0308548,12.55770123,Roluos Khang Kaeut,100,Pursat,,,Agreement signed,2014-02-02T17:00:00Z
103.5359304,12.3277559,Roveang,139,Pursat,,,Agreement signed,2014-02-02T17:00:00Z
103.8163692,12.44320046,Samraong Year 1,5,Pursat,,,Agreement signed,2014-02-02T17:00:00Z
104.0325749,12.56782526,Sna Reach,103,Pursat,,,Agreement signed,2014-02-02T17:00:00Z
103.7903506,12.29973554,Sraepopeay,122,Pursat,,,Agreement signed,2014-02-02T17:00:00Z
103.857797,12.40287277,Svaypak,172,Pursat,,,FA Cantonment,2014-02-02T17:00:00Z
104.0283302,12.53876752,Ta Kaev Kraom,76,Pursat,,,Agreement signed,2014-02-02T17:00:00Z
104.1167379,12.51011106,Thnoeng,81,Pursat,,,Agreement signed,2014-02-02T17:00:00Z
104.0470933,12.55213536,Trapeang Khley,104,Pursat,,,Agreement signed,2014-02-02T17:00:00Z
103.9940405,12.55931074,Tuol Char,20,Pursat,,,Agreement signed,2014-02-02T17:00:00Z
103.8913284,12.44123053,Tuol Kruos,126,Pursat,,,FA Cantonment,2014-02-02T17:00:00Z
103.6991079,12.22788316,Veal,285,Pursat,,,Agreement signed,2014-02-02T17:00:00Z
103.9980673,12.55814135,Voat Pou Muoy,11,Pursat,,,Agreement signed,2014-02-02T17:00:00Z
103.996934,12.55845357,Voat Pou Pir,16,Pursat,,,Agreement signed,2014-02-02T17:00:00Z
104.0029972,12.56387412,Kampong Krabei,26,Pursat,,,Agreement signed,2014-02-02T17:00:00Z
104.0968672,12.47879584,Krabei Sa,167,Pursat,,,FA Cantonment,2014-02-02T17:00:00Z
103.8656723,12.63217838,Chambok Meas,40,Pursat,,,Approved by MAFF,2014-02-02T17:00:00Z
103.7085752,12.36540661,Prohoas Kbal,18,Pursat,,,Approved by MAFF,2014-02-02T17:00:00Z
103.4676358,12.29400442,Steung Thmey,502,Pursat,,,Submitted to MAFF,2014-02-02T17:00:00Z
104.0439227,12.45070099,Phum Chheu Teal,471,Pursat,,,FA Cantonment,2014-02-02T17:00:00Z
103.5659945,12.31980614,Phum Angkrong,185,Pursat,,,FA Cantonment,2014-02-02T17:00:00Z
103.7448568,12.28795778,Veal Vong,54,Pursat,,,Agreement signed,2014-02-02T17:00:00Z
105.216769,12.85880061,Prey Phum Chas,452,Kampong Thom,Prasat Sambou,Sraeung,Agreement signed,2014-02-02T17:00:00Z
105.5207094,12.84936718,Prey Khum Sochet,4571,Kampong Thom,Sandan,Sochet,Agreement signed,2014-02-02T17:00:00Z
105.3639074,12.84628554,Prey Ou Thma,1065,Kampong Thom,Sandan,Tumring,Agreement signed,2014-02-02T17:00:00Z
105.3397885,12.89328544,Prey Ou Romeas,1355.69817,Kampong Thom,Sandan,Tumring,Agreement signed,2014-02-02T17:00:00Z
105.3626732,12.87243859,Prey Ou Phum,1119.931674,Kampong Thom,Sandan,Tumring,Agreement signed,2014-02-02T17:00:00Z
105.3222554,13.05693355,Prey Tatey,1395.440852,Kampong Thom,Sandan,Mean Reth,Agreement signed,2014-02-02T17:00:00Z
105.3917227,12.84766522,Prey Neak Tala,1301.050524,Kampong Thom,Sandan,Tumring,Agreement signed,2014-02-02T17:00:00Z
105.4255567,12.82750182,Dambon Prey Cheam Smach,1445.647586,Kampong Thom,Sandan,Tumring,Agreement signed,2014-02-02T17:00:00Z
105.0582586,12.90666581,Prey Sambou,97.232199,Kampong Thom,Prasat Sambou,Sambou,Agreement signed,2014-02-02T17:00:00Z
105.0808398,12.92505279,Srey Yorl,248.761952,Kampong Thom,Prasat Sambou,Sambou,Agreement signed,2014-02-02T17:00:00Z
105.1204856,12.93536432,Trapeang Prey,161.816098,Kampong Thom,Prasat Sambou,Chhouk,Agreement signed,2014-02-02T17:00:00Z
105.1316279,12.99854041,Prey Pos,164.640851,Kampong Thom,Prasat Sambou,Chhouk,Agreement signed,2014-02-02T17:00:00Z
105.1049386,12.94914314,Preah Sakphea,325.305633,Kampong Thom,Prasat Sambou,Sambou,Agreement signed,2014-02-02T17:00:00Z
105.0681725,12.7171526,Prey Chrang Krohom,898.249034,Kampong Thom,Kampong Svay,Kampong Svay,Agreement signed,2014-02-02T17:00:00Z
105.222469,12.87407809,Prey Rong Knong,280.668949,Kampong Thom,Prasat Sambou,Sraeung,Agreement signed,2014-02-02T17:00:00Z
105.2175443,12.89214961,Prey Ou Kambot,389.1374,Kampong Thom,Prasat Sambou,Koul,Agreement signed,2014-02-02T17:00:00Z
105.289985,12.93221981,Prey Samaki,623.97705,Kampong Thom,Prasat Sambou,Koul,Agreement signed,2014-02-02T17:00:00Z
105.2644031,12.93293422,Srae Prey,825.059,Kampong Thom,Prasat Sambou,Koul,Agreement signed,2014-02-02T17:00:00Z
105.1848404,12.82919185,Ou Chamsrey Tradak Pong,1394.315,Kampong Thom,Prasat Sambou,Sraeung,Agreement signed,2014-02-02T17:00:00Z
104.7387594,12.92370483,Trapeang Trom Trapeang Kep,62.71675,Kampong Thom,Kampong Svay,Domrei Slap,Agreement signed,2014-02-02T17:00:00Z
105.3157065,13.21566458,Prey Kbal Takung,2207.3344,Kampong Thom,Sandan,Dang Kambet,Agreement signed,2014-02-02T17:00:00Z
105.017657,12.96724011,Bosh Lapeak,168.984252,Kampong Thom,Prasat Balangk,Sala Visay,Agreement signed,2014-02-02T17:00:00Z
104.9752867,12.99516348,Kanseng Veal,1263.49149,Kampong Thom,Prasat Balangk,Sala Visay,Agreement signed,2014-02-02T17:00:00Z
104.9093059,12.82100316,Khmum Srorka Tluk Russei,675.090953,Kampong Thom,Kampong Svay,Trapeang Russei,Agreement signed,2014-02-02T17:00:00Z
104.9853825,13.02193971,Munty Knong,940.191105,Kampong Thom,Prasat Balangk,Sala Visay,Agreement signed,2014-02-02T17:00:00Z
104.8944687,12.88956016,Ou Khladak,330.847343,Kampong Thom,Prasat Balangk,Sala Visay,Agreement signed,2014-02-02T17:00:00Z
104.9029039,12.91056979,Ou Poung Rong,677.69805,Kampong Thom,Prasat Balangk,Sala Visay,Agreement signed,2014-02-02T17:00:00Z
105.0327012,13.01160225,Sala Chhtor,1005.734776,Kampong Thom,Prasat Balangk,Sala Visay,Agreement signed,2014-02-02T17:00:00Z
104.880879,12.85707264,Prey Ta Preash,239.066001,Kampong Thom,Kampong Svay,Ni Pech,Agreement signed,2014-02-02T17:00:00Z
104.7535409,12.89144578,Tluk Popel,285.13865,Kampong Thom,Kampong Svay,Domrei Slab,Agreement signed,2014-02-02T17:00:00Z
104.8959231,12.87213529,Trapeang Kbal Kmoach,907.510038,Kampong Thom,Prasat Balangk,Sala Visay,Agreement signed,2014-02-02T17:00:00Z
104.9088083,12.84658513,Trapeang Roung,977.531058,Kampong Thom,Kampong Svay,Chey,Agreement signed,2014-02-02T17:00:00Z
104.8443671,12.94154,Trapeang Lapeak,383.3948,Kampong Thom,Kampong Svay,Ni Pech,Agreement signed,2014-02-02T17:00:00Z
104.6980466,12.86484736,Prey Hurm,407.7412,Kampong Thom,Kampong Svay,Domrei Slab,Agreement signed,2014-02-02T17:00:00Z
104.6729864,13.09109026,Samaki,3518.15389,Kampong Thom,Prasat Balangk,Samaki,Agreement signed,2014-02-02T17:00:00Z
105.095097,12.61802471,Prey Trapeang Sandan,84.722438,Kampong Thom,Santuk,Tipou,Agreement signed,2014-02-02T17:00:00Z
105.0549384,12.64265094,Prey Bos Srey Peu,127.721863,Kampong Thom,Santuk,Tipou,Agreement signed,2014-02-02T17:00:00Z
105.185062,12.7030351,Prey Ou Ta Kreh,569.29013,Kampong Thom,Santuk,Tipou,Agreement signed,2014-02-02T17:00:00Z
105.1438564,12.65945573,Prey Puk Trea,126.997533,Kampong Thom,Santuk,Tipou,Agreement signed,2014-02-02T17:00:00Z
104.9876971,12.64815444,Prey Phnom Srouch,6.993691,Kampong Thom,Santuk,Kokoh,Agreement signed,2014-02-02T17:00:00Z
105.1955383,12.59903414,Prey Kbal Bey,760.86353,Kampong Thom,Santuk,Tipou,Agreement signed,2014-02-02T17:00:00Z
105.2011211,12.62697266,Prey Ta Yong,528.18356,Kampong Thom,Santuk,Tipou,Agreement signed,2014-02-02T17:00:00Z
105.1577929,12.64938306,Prey Cheung Phum,143.86079,Kampong Thom,Santuk,Tipou,Agreement signed,2014-02-02T17:00:00Z
104.9947691,12.66344631,Prey Tbong Krapeu,9.871981,Kampong Thom,Santuk,Kokoh,Agreement signed,2014-02-02T17:00:00Z
105.0173162,12.7024751,Prey Tbong Domrei,153.641259,Kampong Thom,Steung Saen,"t,+gRkeBI",Agreement signed,2014-02-02T17:00:00Z
104.858258,12.89730175,Ou Chreang Sor,1702.33123,Kampong Thom,Kampong Svay,Ni Pech,Agreement signed,2014-02-02T17:00:00Z
105.3413751,13.09664185,Prey Kbal Ou Kror Nhak,1592.707654,Kampong Thom,Sandan,Tumring,Agreement signed,2014-02-02T17:00:00Z
105.5804848,12.95443166,Prey Srea Pring,309.0596,Kampong Thom,Sandan,Sochet,Agreement signed,2014-02-02T17:00:00Z
105.5450673,12.90946799,Prey Phum Rumchek,497.2665,Kampong Thom,Sandan,Sochet,Agreement signed,2014-02-02T17:00:00Z
105.3931963,12.94156134,Prey Ou La,604.78375,Kampong Thom,Sandan,Tum Ring,Agreement signed,2014-02-02T17:00:00Z
105.521541,12.98818497,Prey Hong Chamtet,1015.51575,Kampong Thom,Sandan,Mean Chey,Agreement signed,2014-02-02T17:00:00Z
105.438317,12.97955836,Ou Bos Leav,1359.2599,Kampong Thom,Sandan,Mean Chey,Agreement signed,2014-02-02T17:00:00Z
104.841237,12.91986268,Ou Phlov Lok,528.34192,Kampong Thom,Kampong Svay,Ny Pech,Approved by MAFF,2014-02-02T17:00:00Z
105.4673089,13.05469572,Ou Das Sko,1134.816914,Kampong Thom,Sandan,Mean Chey,Agreement signed,2014-02-02T17:00:00Z
105.5257991,12.96094976,Lbos Sral,1123.45005,Kampong Thom,Sandan,Sochet,Agreement signed,2014-02-02T17:00:00Z
105.6274582,12.89552989,Krang,795.23285,Kampong Thom,Sandan,Sochet,Submitted to MAFF,2014-02-02T17:00:00Z
105.4681292,12.9016235,Kokoh Phaaob,437.9931,Kampong Thom,Sandan,Tum Ring,Agreement signed,2014-02-02T17:00:00Z
105.3807092,13.12583915,Prey Kbal Doun Tey,1802.590629,Kampong Thom,Sandan,Mean Chey,Submitted to MAFF,2014-02-02T17:00:00Z
105.2770287,12.83663445,Damnak Traseang,3937.963474,Kampong Thom,Prasat Sambo,Sreung,Submitted to MAFF,2014-02-02T17:00:00Z
105.3181734,12.67991305,Veal O Khdey,4449.9403,Kampong Thom,Santuk,Krayea,Submitted to MAFF,2014-02-02T17:00:00Z
104.9032971,12.96654454,Ou Saom,307.6873,Kampong Thom,Prasat Balangk,Sala Visai,Submitted to MAFF,2014-02-02T17:00:00Z
104.7899212,12.95915317,Trapeang Ampil,526.587532,Kampong Thom,Prasat Balangk,Toul Kreul,Approved by MAFF,2014-02-02T17:00:00Z
104.7966836,12.97671944,Yak Seurm,641.106337,Kampong Thom,Prasat Balangk,Toul Kreul,Approved by MAFF,2014-02-02T17:00:00Z
104.9016136,12.93339323,Bos Yeay Nheb,110.663162,Kampong Thom,Prasat Balangk,Sala Visai,Submitted to MAFF,2014-02-02T17:00:00Z
104.895241,13.07046907,Ou Damdek,1586.638371,Kampong Thom,Prasat Balangk,Toul Kreul,Approved by MAFF,2014-02-02T17:00:00Z
104.8633736,13.06671957,Pech Ta Chea,1849.92218,Kampong Thom,Prasat Balangk,Toul Kreul,Approved by MAFF,2014-02-02T17:00:00Z
105.1194108,12.8073099,Prey Banteay,129.7753,Kampong Thom,Prasat Sambo,Tang Krasao,Approved by MAFF,2014-02-02T17:00:00Z
105.1953958,12.84613944,Ou Donsao,161.4672,Kampong Thom,Prasat Sambo,Sraeng,Approved by MAFF,2014-02-02T17:00:00Z
105.2658183,12.96348795,Prey Chor,646.640858,Kampong Thom,Sandan,Khlaeng,Submitted to MAFF,2014-02-02T17:00:00Z
105.3133723,13.04161732,Beong Rolom,1201.3953,Kampong Thom,Sandan,Chheu Teal,Submitted to MAFF,2014-02-02T17:00:00Z
105.3024906,13.02759618,Andoung Pring,1944.887367,Kampong Thom,Sandan,Chheu Teal,Submitted to MAFF,2014-02-02T17:00:00Z
105.4482852,13.08251674,Ou Kra Nhoung,1130.780868,Kampong Thom,Sandan,Mean Rith,Agreement signed,2014-02-02T17:00:00Z
105.3100966,12.98848703,Prey Khleng,2085.28325,Kampong Thom,Sandan,Khleng,Submitted to MAFF,2014-02-02T17:00:00Z
105.2766117,12.97715822,Kampaot Chhuk,1310.731786,Kampong Thom,Sandan,Khleng,Submitted to MAFF,2014-02-02T17:00:00Z
105.2862767,13.01085865,Ke Rong,1571.8745,Kampong Thom,Sandan,Chheu Teal,Submitted to MAFF,2014-02-02T17:00:00Z
104.9178448,12.97268955,Ou Angkub Thom,377.5452,Kampong Thom,Prasat Balangk,Sala Visai,Submitted to MAFF,2014-02-02T17:00:00Z
105.3178205,13.1301202,Svay,1785.635082,Kampong Thom,Sandan,Sandan,Submitted to MAFF,2014-02-02T17:00:00Z
105.3140382,13.152288,Kbal Khla,2533.0748,Kampong Thom,Sandan,Sandan,Submitted to MAFF,2014-02-02T17:00:00Z
104.6489789,13.15280981,Srae Krasang,1852.650439,Kampong Thom,Staong,Po Pok,Submitted to MAFF,2014-02-02T17:00:00Z
105.0087012,12.61602491,Trap Nhork,41.141704,Kampong Thom,Staong,Ko Koh,Submitted to MAFF,2014-02-02T17:00:00Z
105.0901131,12.76765055,Kouk Srok,367.948603,Kampong Thom,Prasat Sambo,Tang Krasao,FA,2014-02-02T17:00:00Z
105.0873694,12.74611135,Prtalay,384.475499,Kampong Thom,Prasat Sambo,Tang Krasao,FA,2014-02-02T17:00:00Z
105.0816511,12.75388101,Krabao Srong,375.061,Kampong Thom,Prasat Sambo,Tang Krasao,FA,2014-02-02T17:00:00Z
105.0866647,12.73266481,Kampong Krasang,414.865452,Kampong Thom,Prasat Sambo,Tang Krasao,FA,2014-02-02T17:00:00Z
105.0643732,12.73683994,Ta Pong,296.304252,Kampong Thom,Prasat Sambo,Tang Krasao,FA,2014-02-02T17:00:00Z
105.0609242,12.7597916,Prey Chaom,630.59912,Kampong Thom,Prasat Sambo,Tang Krasao,FA,2014-02-02T17:00:00Z
105.3139086,13.26755223,Prey Kbal Ou Thnong,2891.633244,Kampong Thom,Sandan,Dang Kambet,Agreement signed,2014-02-02T17:00:00Z
105.2748899,13.17097852,Chhouk,880.28895,Kampong Thom,Sandan,Sandan,FA,2014-02-02T17:00:00Z
105.3061084,13.11205841,Cho,790.5887,Kampong Thom,Sandan,Sandan,FA,2014-02-02T17:00:00Z
104.6916121,13.12749126,Damnak Kokoh,2285.219416,Kampong Thom,Prasat Balangk,Krayea,FA,2014-02-02T17:00:00Z
105.2698269,12.52622822,Baksna,60.837708,Kampong Thom,Baray,Baksna,FA,2014-02-02T17:00:00Z
105.187131,12.54639202,La Ak,28.55145,Kampong Thom,Santuk,Kampong Thma,FA,2014-02-02T17:00:00Z
104.6102309,13.05533054,Prey Andoung,239.2642,Kampong Thom,Staong,Trea,Submitted to MAFF,2014-02-02T17:00:00Z
105.2269969,13.39898559,Knar,524.15432,Preah Vihear,Rovieng,Ratanak,Approved by MAFF,2014-02-02T17:00:00Z
105.0369519,13.43643009,O Brolok,4160,Preah Vihear,Rovieng,Romtom,Submitted to MAFF,2014-02-02T17:00:00Z
105.1470686,13.43659785,Prey Kirimeanchey,1262.17394,Preah Vihear,Rovieng,Rik Reay,Approved by MAFF,2014-02-02T17:00:00Z
105.25334,13.3730632,Prey Snuol,229.44225,Preah Vihear,Rovieng,Ratanak,Approved by MAFF,2014-02-02T17:00:00Z
105.2512527,13.43524051,Reabroy Saenchey,2135.90904,Preah Vihear,Rovieng,Reab Roy,Submitted to MAFF,2014-02-02T17:00:00Z
105.3337823,13.34056216,Preylang Saenchey,1986.18282,Preah Vihear,Rovieng,Reab Roy,Submitted to MAFF,2014-02-02T17:00:00Z
105.1913533,13.32863799,Phnom Kre Morodok,2313.81844,Preah Vihear,Rovieng,Ratanak,Approved by MAFF,2014-02-02T17:00:00Z
105.2641831,13.33118588,Samprieng,566.41459,Preah Vihear,Rovieng,Ratanak,Approved by MAFF,2014-02-02T17:00:00Z
105.3502262,13.80552395,Sangkae,2718.19207,Preah Vihear,Chhaeb,Sangkae Muoy,Agreement signed,2014-02-02T17:00:00Z
105.216639,13.58942572,Prey Khlong Trapeang Sa'ang,1708.57525,Preah Vihear,Chey Saen,Putrea,Approved by MAFF,2014-02-02T17:00:00Z
105.168888,13.61919357,Kravan,1106.846275,Preah Vihear,Chey Saen,Putrea,Approved by MAFF,2014-02-02T17:00:00Z
105.5415231,13.87002427,Kunpheap,1526.12727,Preah Vihear,Chhaeb,Chhaeb Pir,Approved by MAFF,2014-02-02T17:00:00Z
105.7528096,13.98455274,Prey Changhar Thom,1592.995018,Preah Vihear,Chhaeb,Kampong Sralao Pir,Agreement signed,2014-02-02T17:00:00Z
105.79003,13.93034059,Preah Enn Pkay Reah,1332.328465,Preah Vihear,Chhaeb,Kampong Sralao Pir,Agreement signed,2014-02-02T17:00:00Z
105.7509077,13.9462053,Prey Niyum Trapeang Chambak,3682.267679,Preah Vihear,Chhaeb,Kampong Sralao Muoy,Agreement signed,2014-02-02T17:00:00Z
105.7184709,13.97325561,Trapeang Kbal Damrei,3018.446,Preah Vihear,Chhaeb,Kampong Sralao Pir,Agreement signed,2014-02-02T17:00:00Z
105.6944678,13.99307186,Kampong Sranoah,3130.188697,Preah Vihear,Chhaeb,Kampong Sralao Muoy,Agreement signed,2014-02-02T17:00:00Z
105.8709949,13.93257804,Preah Lean,1233.4507,Preah Vihear,Chhaeb,Kampong Sralao Pir,Agreement signed,2014-02-02T17:00:00Z
105.3654021,13.74154778,Chhaeb,2642.203268,Preah Vihear,Chhaeb,Chhaeb Muoy,Agreement signed,2014-02-02T17:00:00Z
104.939173,14.09687416,Romdos Srae Pir,4507.103798,Preah Vihear,Choam Ksan,Romdos Srae,Approved by MAFF,2014-02-02T17:00:00Z
104.8293006,14.16197707,Romdos Srae Muoy,3975.993159,Preah Vihear,Choam Ksan,Romdos Srae,Approved by MAFF,2014-02-02T17:00:00Z
106.4755401,12.24282232,Phtol,634.424,Kratie,Snoul,Khsem,Submitted to MAFF,2014-02-02T17:00:00Z
106.4801922,12.31376476,Srea Roneam,2021.101,Kratie,Snoul,Khsem,Agreement signed,2014-02-02T17:00:00Z
106.1372471,12.54879544,Chrava,1216.103,Kratie,Kratie,Kor Lorb,Approved by MAFF,2014-02-02T17:00:00Z
