COMM_CODE,COMM_NAME,References
220303,Krasang,http://www.opendevelopmentcambodia.net/references/Economic_Census_of_Cambodia_2011_OtdarMeanchey__01.03.2012.pdf
190304,Srae Sambour,http://www.opendevelopmentcambodia.net/references/Economic_Census_of_Cambodia_2011_StungTreng__01.03.2012.pdf
160906,Kaoh Peak,http://www.opendevelopmentcambodia.net/references/Economic_Census_of_Cambodia_2011_RatanakKiri__01.03.2012.pdf
130203,Sangkae Muoy,http://www.opendevelopmentcambodia.net/references/Economic_Census_of_Cambodia_2011_PreahVihear__01.03.2012.pdf
130205,Mlu Prey Muoy,http://www.opendevelopmentcambodia.net/references/Economic_Census_of_Cambodia_2011_PreahVihear__01.03.2012.pdf
010702,Kouk Romiet,http://www.opendevelopmentcambodia.net/references/Economic_Census_of_Cambodia_2011_BanteayMeanchey__01.03.2012.pdf
010706,Kumru,http://www.opendevelopmentcambodia.net/references/Economic_Census_of_Cambodia_2011_BanteayMeanchey__01.03.2012.pdf
130208,Kampong Sralau Pir,http://www.opendevelopmentcambodia.net/references/Economic_Census_of_Cambodia_2011_PreahVihear__01.03.2012.pdf
130202,Chhaeb Pir,http://www.opendevelopmentcambodia.net/references/Economic_Census_of_Cambodia_2011_PreahVihear__01.03.2012.pdf
160104,Ta Lav,http://www.opendevelopmentcambodia.net/references/Economic_Census_of_Cambodia_2011_RatanakKiri__01.03.2012.pdf
010704,Thma Puok,http://www.opendevelopmentcambodia.net/references/Economic_Census_of_Cambodia_2011_BanteayMeanchey__01.03.2012.pdf
010301,Nam Tau,http://www.opendevelopmentcambodia.net/references/Economic_Census_of_Cambodia_2011_BanteayMeanchey__01.03.2012.pdf
160908,Pa Kalan,http://www.opendevelopmentcambodia.net/references/Economic_Census_of_Cambodia_2011_RatanakKiri__01.03.2012.pdf
160904,Ka Choun,http://www.opendevelopmentcambodia.net/references/Economic_Census_of_Cambodia_2011_RatanakKiri__01.03.2012.pdf
130402,Kuleaen Cheung,http://www.opendevelopmentcambodia.net/references/Economic_Census_of_Cambodia_2011_PreahVihear__01.03.2012.pdf
160901,Ban Pong,http://www.opendevelopmentcambodia.net/references/Economic_Census_of_Cambodia_2011_RatanakKiri__01.03.2012.pdf
160602,Pouy,http://www.opendevelopmentcambodia.net/references/Economic_Census_of_Cambodia_2011_RatanakKiri__01.03.2012.pdf
220301,Cheung Tien,http://www.opendevelopmentcambodia.net/references/Economic_Census_of_Cambodia_2011_OtdarMeanchey__01.03.2012.pdf
171206,Slaeng Spean,http://www.opendevelopmentcambodia.net/references/Economic_Census_of_Cambodia_2011_SiemReap__01.03.2012.pdf
010302,Paoy Char,http://www.opendevelopmentcambodia.net/references/Economic_Census_of_Cambodia_2011_BanteayMeanchey__01.03.2012.pdf
171405,Varin,http://www.opendevelopmentcambodia.net/references/Economic_Census_of_Cambodia_2011_SiemReap__01.03.2012.pdf
171402,Lvea Krang,http://www.opendevelopmentcambodia.net/references/Economic_Census_of_Cambodia_2011_SiemReap__01.03.2012.pdf
171403,Srae Nouy,http://www.opendevelopmentcambodia.net/references/Economic_Census_of_Cambodia_2011_SiemReap__01.03.2012.pdf
160909,Phnum Kok,http://www.opendevelopmentcambodia.net/references/Economic_Census_of_Cambodia_2011_RatanakKiri__01.03.2012.pdf
171302,Kantuot,http://www.opendevelopmentcambodia.net/references/Economic_Census_of_Cambodia_2011_SiemReap__01.03.2012.pdf
010705,Kouk Kakthen,http://www.opendevelopmentcambodia.net/references/Economic_Census_of_Cambodia_2011_BanteayMeanchey__01.03.2012.pdf
010303,Ponley,http://www.opendevelopmentcambodia.net/references/Economic_Census_of_Cambodia_2011_BanteayMeanchey__01.03.2012.pdf
130403,Thmei,http://www.opendevelopmentcambodia.net/references/Economic_Census_of_Cambodia_2011_PreahVihear__01.03.2012.pdf
010703,Phum Thmei,http://www.opendevelopmentcambodia.net/references/Economic_Census_of_Cambodia_2011_BanteayMeanchey__01.03.2012.pdf
010804,Svay Chek,http://www.opendevelopmentcambodia.net/references/Economic_Census_of_Cambodia_2011_BanteayMeanchey__01.03.2012.pdf
010807,Treas,http://www.opendevelopmentcambodia.net/references/Economic_Census_of_Cambodia_2011_BanteayMeanchey__01.03.2012.pdf
160607,L'ak,http://www.opendevelopmentcambodia.net/references/Economic_Census_of_Cambodia_2011_RatanakKiri__01.03.2012.pdf
190508,Preah Rumkel,http://www.opendevelopmentcambodia.net/references/Economic_Census_of_Cambodia_2011_StungTreng__01.03.2012.pdf
130704,Pou,http://www.opendevelopmentcambodia.net/references/Economic_Census_of_Cambodia_2011_PreahVihear__01.03.2012.pdf
130703,Chhean Mukh,http://www.opendevelopmentcambodia.net/references/Economic_Census_of_Cambodia_2011_PreahVihear__01.03.2012.pdf
130705,Prame,http://www.opendevelopmentcambodia.net/references/Economic_Census_of_Cambodia_2011_PreahVihear__01.03.2012.pdf
190507,Ou Svay,http://www.opendevelopmentcambodia.net/references/Economic_Census_of_Cambodia_2011_StungTreng__01.03.2012.pdf
190404,Sameakki,http://www.opendevelopmentcambodia.net/references/Economic_Census_of_Cambodia_2011_StungTreng__01.03.2012.pdf
160101,Malik,http://www.opendevelopmentcambodia.net/references/Economic_Census_of_Cambodia_2011_RatanakKiri__01.03.2012.pdf
160604,Kalai,http://www.opendevelopmentcambodia.net/references/Economic_Census_of_Cambodia_2011_RatanakKiri__01.03.2012.pdf
171201,Chrouy Neang Nguon,http://www.opendevelopmentcambodia.net/references/Economic_Census_of_Cambodia_2011_SiemReap__01.03.2012.pdf
160605,Ou Chum,http://www.opendevelopmentcambodia.net/references/Economic_Census_of_Cambodia_2011_RatanakKiri__01.03.2012.pdf
171202,Klang Hay,http://www.opendevelopmentcambodia.net/references/Economic_Census_of_Cambodia_2011_SiemReap__01.03.2012.pdf
171401,Prasat,http://www.opendevelopmentcambodia.net/references/Economic_Census_of_Cambodia_2011_SiemReap__01.03.2012.pdf
160606,Sameakki,http://www.opendevelopmentcambodia.net/references/Economic_Census_of_Cambodia_2011_RatanakKiri__01.03.2012.pdf
190107,Ta Lat,http://www.opendevelopmentcambodia.net/references/Economic_Census_of_Cambodia_2011_StungTreng__01.03.2012.pdf
160903,Hat Pak,http://www.opendevelopmentcambodia.net/references/Economic_Census_of_Cambodia_2011_RatanakKiri__01.03.2012.pdf
171205,Prei,http://www.opendevelopmentcambodia.net/references/Economic_Census_of_Cambodia_2011_SiemReap__01.03.2012.pdf
190505,Anlong Chrey,http://www.opendevelopmentcambodia.net/references/Economic_Census_of_Cambodia_2011_StungTreng__01.03.2012.pdf
010801,Phkoam,http://www.opendevelopmentcambodia.net/references/Economic_Census_of_Cambodia_2011_BanteayMeanchey__01.03.2012.pdf
130201,Chhaeb Muoy,http://www.opendevelopmentcambodia.net/references/Economic_Census_of_Cambodia_2011_PreahVihear__01.03.2012.pdf
190509,Sam'ang,http://www.opendevelopmentcambodia.net/references/Economic_Census_of_Cambodia_2011_StungTreng__01.03.2012.pdf
170106,Srae Khvav,http://www.opendevelopmentcambodia.net/references/Economic_Census_of_Cambodia_2011_SiemReap__01.03.2012.pdf
160706,Saom Thum,http://www.opendevelopmentcambodia.net/references/Economic_Census_of_Cambodia_2011_RatanakKiri__01.03.2012.pdf
160301,Kak,http://www.opendevelopmentcambodia.net/references/Economic_Census_of_Cambodia_2011_RatanakKiri__01.03.2012.pdf
160302,Ke Chong,http://www.opendevelopmentcambodia.net/references/Economic_Census_of_Cambodia_2011_RatanakKiri__01.03.2012.pdf
010803,Sla Kram,http://www.opendevelopmentcambodia.net/references/Economic_Census_of_Cambodia_2011_BanteayMeanchey__01.03.2012.pdf
010808,Roluos,http://www.opendevelopmentcambodia.net/references/Economic_Census_of_Cambodia_2011_BanteayMeanchey__01.03.2012.pdf
190105,Sdau,http://www.opendevelopmentcambodia.net/references/Economic_Census_of_Cambodia_2011_StungTreng__01.03.2012.pdf
190104,Samkhuoy,http://www.opendevelopmentcambodia.net/references/Economic_Census_of_Cambodia_2011_StungTreng__01.03.2012.pdf
190106,Srae Kor,http://www.opendevelopmentcambodia.net/references/Economic_Census_of_Cambodia_2011_StungTreng__01.03.2012.pdf
130802,Pal Hal,http://www.opendevelopmentcambodia.net/references/Economic_Census_of_Cambodia_2011_PreahVihear__01.03.2012.pdf
010306,Phnum Dei,http://www.opendevelopmentcambodia.net/references/Economic_Census_of_Cambodia_2011_BanteayMeanchey__01.03.2012.pdf
130801,Kampong Pranak,http://www.opendevelopmentcambodia.net/references/Economic_Census_of_Cambodia_2011_PreahVihear__01.03.2012.pdf
130401,Kuleaen Tboung,http://www.opendevelopmentcambodia.net/references/Economic_Census_of_Cambodia_2011_PreahVihear__01.03.2012.pdf
010509,Ou Bei Choan,http://www.opendevelopmentcambodia.net/references/Economic_Census_of_Cambodia_2011_BanteayMeanchey__01.03.2012.pdf
171404,Svay sa,http://www.opendevelopmentcambodia.net/references/Economic_Census_of_Cambodia_2011_SiemReap__01.03.2012.pdf
010806,Ta Phou,http://www.opendevelopmentcambodia.net/references/Economic_Census_of_Cambodia_2011_BanteayMeanchey__01.03.2012.pdf
160705,Sesant,http://www.opendevelopmentcambodia.net/references/Economic_Census_of_Cambodia_2011_RatanakKiri__01.03.2012.pdf
160404,Teun,http://www.opendevelopmentcambodia.net/references/Economic_Census_of_Cambodia_2011_RatanakKiri__01.03.2012.pdf
171203,Tram Sasar,http://www.opendevelopmentcambodia.net/references/Economic_Census_of_Cambodia_2011_SiemReap__01.03.2012.pdf
160601,Cha Ung,http://www.opendevelopmentcambodia.net/references/Economic_Census_of_Cambodia_2011_RatanakKiri__01.03.2012.pdf
171204,Moung,http://www.opendevelopmentcambodia.net/references/Economic_Census_of_Cambodia_2011_SiemReap__01.03.2012.pdf
010802,Sarongk,http://www.opendevelopmentcambodia.net/references/Economic_Census_of_Cambodia_2011_BanteayMeanchey__01.03.2012.pdf
160403,Ta Ang,http://www.opendevelopmentcambodia.net/references/Economic_Census_of_Cambodia_2011_RatanakKiri__01.03.2012.pdf
010805,Ta Baen,http://www.opendevelopmentcambodia.net/references/Economic_Census_of_Cambodia_2011_BanteayMeanchey__01.03.2012.pdf
130404,Phnum Penh,http://www.opendevelopmentcambodia.net/references/Economic_Census_of_Cambodia_2011_PreahVihear__01.03.2012.pdf
010305,Srah Chik,http://www.opendevelopmentcambodia.net/references/Economic_Census_of_Cambodia_2011_BanteayMeanchey__01.03.2012.pdf
130206,Mlu Prey Pir,http://www.opendevelopmentcambodia.net/references/Economic_Census_of_Cambodia_2011_PreahVihear__01.03.2012.pdf
010304,Spean Sraeng,http://www.opendevelopmentcambodia.net/references/Economic_Census_of_Cambodia_2011_BanteayMeanchey__01.03.2012.pdf
190504,Kaoh Snaeng,http://www.opendevelopmentcambodia.net/references/Economic_Census_of_Cambodia_2011_StungTreng__01.03.2012.pdf
160603,Aekakpheap,http://www.opendevelopmentcambodia.net/references/Economic_Census_of_Cambodia_2011_RatanakKiri__01.03.2012.pdf
160406,Trapeang Kraham,http://www.opendevelopmentcambodia.net/references/Economic_Census_of_Cambodia_2011_RatanakKiri__01.03.2012.pdf
160703,Pak Nhai,http://www.opendevelopmentcambodia.net/references/Economic_Census_of_Cambodia_2011_RatanakKiri__01.03.2012.pdf
130405,Phnum Tbaeng Pir,http://www.opendevelopmentcambodia.net/references/Economic_Census_of_Cambodia_2011_PreahVihear__01.03.2012.pdf
160306,Ting Chak,http://www.opendevelopmentcambodia.net/references/Economic_Census_of_Cambodia_2011_RatanakKiri__01.03.2012.pdf
171305,Ta Siem,http://www.opendevelopmentcambodia.net/references/Economic_Census_of_Cambodia_2011_SiemReap__01.03.2012.pdf
160702,Lum Choar,http://www.opendevelopmentcambodia.net/references/Economic_Census_of_Cambodia_2011_RatanakKiri__01.03.2012.pdf
170102,Doun  Peaeng,http://www.opendevelopmentcambodia.net/references/Economic_Census_of_Cambodia_2011_SiemReap__01.03.2012.pdf
170302,Khun Ream,http://www.opendevelopmentcambodia.net/references/Economic_Census_of_Cambodia_2011_SiemReap__01.03.2012.pdf
160203,Yeak Laom,http://www.opendevelopmentcambodia.net/references/Economic_Census_of_Cambodia_2011_RatanakKiri__01.03.2012.pdf
010507,Soengh,http://www.opendevelopmentcambodia.net/references/Economic_Census_of_Cambodia_2011_BanteayMeanchey__01.03.2012.pdf
130204,Sangkae Pir,http://www.opendevelopmentcambodia.net/references/Economic_Census_of_Cambodia_2011_PreahVihear__01.03.2012.pdf
160202,Labansiek,http://www.opendevelopmentcambodia.net/references/Economic_Census_of_Cambodia_2011_RatanakKiri__01.03.2012.pdf
170103,Kouk Doung,http://www.opendevelopmentcambodia.net/references/Economic_Census_of_Cambodia_2011_SiemReap__01.03.2012.pdf
170607,Saen Sokh,http://www.opendevelopmentcambodia.net/references/Economic_Census_of_Cambodia_2011_SiemReap__01.03.2012.pdf
010407,Tean Kam,http://www.opendevelopmentcambodia.net/references/Economic_Census_of_Cambodia_2011_BanteayMeanchey__01.03.2012.pdf
160303,Laming,http://www.opendevelopmentcambodia.net/references/Economic_Census_of_Cambodia_2011_RatanakKiri__01.03.2012.pdf
130102,Tasu,http://www.opendevelopmentcambodia.net/references/Economic_Census_of_Cambodia_2011_PreahVihear__01.03.2012.pdf
170104,Koul,http://www.opendevelopmentcambodia.net/references/Economic_Census_of_Cambodia_2011_SiemReap__01.03.2012.pdf
160201,Kachanh,http://www.opendevelopmentcambodia.net/references/Economic_Census_of_Cambodia_2011_RatanakKiri__01.03.2012.pdf
011002,Paoy Paet,http://www.opendevelopmentcambodia.net/references/Economic_Census_of_Cambodia_2011_BanteayMeanchey__01.03.2012.pdf
010409,Bos Sbov,http://www.opendevelopmentcambodia.net/references/Economic_Census_of_Cambodia_2011_BanteayMeanchey__01.03.2012.pdf
190103,Phluk,http://www.opendevelopmentcambodia.net/references/Economic_Census_of_Cambodia_2011_StungTreng__01.03.2012.pdf
170604,Krouch Kor,http://www.opendevelopmentcambodia.net/references/Economic_Census_of_Cambodia_2011_SiemReap__01.03.2012.pdf
011001,Nimitt,http://www.opendevelopmentcambodia.net/references/Economic_Census_of_Cambodia_2011_BanteayMeanchey__01.03.2012.pdf
010402,Chob Veari,http://www.opendevelopmentcambodia.net/references/Economic_Census_of_Cambodia_2011_BanteayMeanchey__01.03.2012.pdf
170107,Ta Saom,http://www.opendevelopmentcambodia.net/references/Economic_Census_of_Cambodia_2011_SiemReap__01.03.2012.pdf
010501,Changha,http://www.opendevelopmentcambodia.net/references/Economic_Census_of_Cambodia_2011_BanteayMeanchey__01.03.2012.pdf
010604,Mkak,http://www.opendevelopmentcambodia.net/references/Economic_Census_of_Cambodia_2011_BanteayMeanchey__01.03.2012.pdf
130603,Phnum Tbaeng Muoy,http://www.opendevelopmentcambodia.net/references/Economic_Census_of_Cambodia_2011_PreahVihear__01.03.2012.pdf
170101,Char Chhuk,http://www.opendevelopmentcambodia.net/references/Economic_Census_of_Cambodia_2011_SiemReap__01.03.2012.pdf
130706,Preah Khleang,http://www.opendevelopmentcambodia.net/references/Economic_Census_of_Cambodia_2011_PreahVihear__01.03.2012.pdf
160707,Ya Tung,http://www.opendevelopmentcambodia.net/references/Economic_Census_of_Cambodia_2011_RatanakKiri__01.03.2012.pdf
160304,Lung Khung,http://www.opendevelopmentcambodia.net/references/Economic_Census_of_Cambodia_2011_RatanakKiri__01.03.2012.pdf
160405,Trapeang Chres,http://www.opendevelopmentcambodia.net/references/Economic_Census_of_Cambodia_2011_RatanakKiri__01.03.2012.pdf
010506,Souphi,http://www.opendevelopmentcambodia.net/references/Economic_Census_of_Cambodia_2011_BanteayMeanchey__01.03.2012.pdf
010502,Koub,http://www.opendevelopmentcambodia.net/references/Economic_Census_of_Cambodia_2011_BanteayMeanchey__01.03.2012.pdf
160504,La Bang Pir,http://www.opendevelopmentcambodia.net/references/Economic_Census_of_Cambodia_2011_RatanakKiri__01.03.2012.pdf
170201,Chob Ta Trav,http://www.opendevelopmentcambodia.net/references/Economic_Census_of_Cambodia_2011_SiemReap__01.03.2012.pdf
170601,Chonloas Dai,http://www.opendevelopmentcambodia.net/references/Economic_Census_of_Cambodia_2011_SiemReap__01.03.2012.pdf
170203,Peak Snaeng,http://www.opendevelopmentcambodia.net/references/Economic_Census_of_Cambodia_2011_SiemReap__01.03.2012.pdf
010406,Rohal,http://www.opendevelopmentcambodia.net/references/Economic_Census_of_Cambodia_2011_BanteayMeanchey__01.03.2012.pdf
160305,Seung,http://www.opendevelopmentcambodia.net/references/Economic_Census_of_Cambodia_2011_RatanakKiri__01.03.2012.pdf
130602,Ro'ang,http://www.opendevelopmentcambodia.net/references/Economic_Census_of_Cambodia_2011_PreahVihear__01.03.2012.pdf
130103,Khyang,http://www.opendevelopmentcambodia.net/references/Economic_Census_of_Cambodia_2011_PreahVihear__01.03.2012.pdf
160704,Pate,http://www.opendevelopmentcambodia.net/references/Economic_Census_of_Cambodia_2011_RatanakKiri__01.03.2012.pdf
170610,Ta an,http://www.opendevelopmentcambodia.net/references/Economic_Census_of_Cambodia_2011_SiemReap__01.03.2012.pdf
170608,Snuol,http://www.opendevelopmentcambodia.net/references/Economic_Census_of_Cambodia_2011_SiemReap__01.03.2012.pdf
190510,Srae Ruessei,http://www.opendevelopmentcambodia.net/references/Economic_Census_of_Cambodia_2011_StungTreng__01.03.2012.pdf
160701,Bar Kham,http://www.opendevelopmentcambodia.net/references/Economic_Census_of_Cambodia_2011_RatanakKiri__01.03.2012.pdf
130104,Chrach,http://www.opendevelopmentcambodia.net/references/Economic_Census_of_Cambodia_2011_PreahVihear__01.03.2012.pdf
010408,Tuek Chour,http://www.opendevelopmentcambodia.net/references/Economic_Census_of_Cambodia_2011_BanteayMeanchey__01.03.2012.pdf
170105,Nokor Pheas,http://www.opendevelopmentcambodia.net/references/Economic_Census_of_Cambodia_2011_SiemReap__01.03.2012.pdf
010401,Chhnuor Mean Chey,http://www.opendevelopmentcambodia.net/references/Economic_Census_of_Cambodia_2011_BanteayMeanchey__01.03.2012.pdf
010602,Kampong Svay,http://www.opendevelopmentcambodia.net/references/Economic_Census_of_Cambodia_2011_BanteayMeanchey__01.03.2012.pdf
130101,S'ang,http://www.opendevelopmentcambodia.net/references/Economic_Census_of_Cambodia_2011_PreahVihear__01.03.2012.pdf
171303,Khnang Phnum,http://www.opendevelopmentcambodia.net/references/Economic_Census_of_Cambodia_2011_SiemReap__01.03.2012.pdf
160503,La Bang Muoy,http://www.opendevelopmentcambodia.net/references/Economic_Census_of_Cambodia_2011_RatanakKiri__01.03.2012.pdf
130106,Putrea,http://www.opendevelopmentcambodia.net/references/Economic_Census_of_Cambodia_2011_PreahVihear__01.03.2012.pdf
010403,Phnum Lieb,http://www.opendevelopmentcambodia.net/references/Economic_Census_of_Cambodia_2011_BanteayMeanchey__01.03.2012.pdf
130105,Thmea,http://www.opendevelopmentcambodia.net/references/Economic_Census_of_Cambodia_2011_PreahVihear__01.03.2012.pdf
130601,Chamraeun,http://www.opendevelopmentcambodia.net/references/Economic_Census_of_Cambodia_2011_PreahVihear__01.03.2012.pdf
010606,Phniet,http://www.opendevelopmentcambodia.net/references/Economic_Census_of_Cambodia_2011_BanteayMeanchey__01.03.2012.pdf
130604,Sdau,http://www.opendevelopmentcambodia.net/references/Economic_Census_of_Cambodia_2011_PreahVihear__01.03.2012.pdf
190511,Thala,http://www.opendevelopmentcambodia.net/references/Economic_Census_of_Cambodia_2011_StungTreng__01.03.2012.pdf
171304,Svay Leu,http://www.opendevelopmentcambodia.net/references/Economic_Census_of_Cambodia_2011_SiemReap__01.03.2012.pdf
170605,Roung Kou,http://www.opendevelopmentcambodia.net/references/Economic_Census_of_Cambodia_2011_SiemReap__01.03.2012.pdf
170703,Kdei Run,http://www.opendevelopmentcambodia.net/references/Economic_Census_of_Cambodia_2011_SiemReap__01.03.2012.pdf
160502,Ka Laeng,http://www.opendevelopmentcambodia.net/references/Economic_Census_of_Cambodia_2011_RatanakKiri__01.03.2012.pdf
130509,Raksa,http://www.opendevelopmentcambodia.net/references/Economic_Census_of_Cambodia_2011_PreahVihear__01.03.2012.pdf
010405,Preah Netr Preah,http://www.opendevelopmentcambodia.net/references/Economic_Census_of_Cambodia_2011_BanteayMeanchey__01.03.2012.pdf
170301,Khnar Sanday,http://www.opendevelopmentcambodia.net/references/Economic_Census_of_Cambodia_2011_SiemReap__01.03.2012.pdf
170306,Tbaeng,http://www.opendevelopmentcambodia.net/references/Economic_Census_of_Cambodia_2011_SiemReap__01.03.2012.pdf
130510,Rumdaoh,http://www.opendevelopmentcambodia.net/references/Economic_Census_of_Cambodia_2011_PreahVihear__01.03.2012.pdf
010607,Preah Ponlea,http://www.opendevelopmentcambodia.net/references/Economic_Census_of_Cambodia_2011_BanteayMeanchey__01.03.2012.pdf
170602,Kampong Thkov,http://www.opendevelopmentcambodia.net/references/Economic_Census_of_Cambodia_2011_SiemReap__01.03.2012.pdf
170711,Prey Chruk,http://www.opendevelopmentcambodia.net/references/Economic_Census_of_Cambodia_2011_SiemReap__01.03.2012.pdf
190506,Ou Rai,http://www.opendevelopmentcambodia.net/references/Economic_Census_of_Cambodia_2011_StungTreng__01.03.2012.pdf
010608,Tuek Thla,http://www.opendevelopmentcambodia.net/references/Economic_Census_of_Cambodia_2011_BanteayMeanchey__01.03.2012.pdf
010905,Tuol Pongro,http://www.opendevelopmentcambodia.net/references/Economic_Census_of_Cambodia_2011_BanteayMeanchey__01.03.2012.pdf
190102,Kbal Romeas,http://www.opendevelopmentcambodia.net/references/Economic_Census_of_Cambodia_2011_StungTreng__01.03.2012.pdf
190501,Anlong Phe,http://www.opendevelopmentcambodia.net/references/Economic_Census_of_Cambodia_2011_StungTreng__01.03.2012.pdf
170715,Trei Nhoar,http://www.opendevelopmentcambodia.net/references/Economic_Census_of_Cambodia_2011_SiemReap__01.03.2012.pdf
010605,Ou Ambel,http://www.opendevelopmentcambodia.net/references/Economic_Census_of_Cambodia_2011_BanteayMeanchey__01.03.2012.pdf
160506,Seda,http://www.opendevelopmentcambodia.net/references/Economic_Census_of_Cambodia_2011_RatanakKiri__01.03.2012.pdf
